id,answer,correct,question_id
1,Išmetimas kortų,0,1
2,Statymas su silpna ranka siekiant apgauti varžovus,1,1
3,Laikymas didžiausios vertės kortos,0,1
4,Atidengimas visų kortų,0,1
5,Statymas didžiausia suma,0,1
6,Rinkimas informacijos apie varžovus,0,1
7,Straight Flush,0,2
8,Keturi vienodi,0,2
9,Pilnas namas,0,2
10,Royal Flush,1,2
11,Flush,0,2
12,Straight,0,2
13,Tris vienodos ir pora,1,3
14,Tris vienodos ir du vienodi,1,3
15,Keturi vienodi,0,3
16,Dvi poros,0,3
17,Penkios vienodos kortos,0,3
18,Nė viena iš išvardytų,0,3
19,5 kortos,0,4
20,2 kortos,1,4
21,4 kortos,0,4
22,3 kortos,0,4
23,1 korta,0,4
24,6 kortos,0,4
26,Pirmos dvi bendros kortos,0,5
27,Pirmoji bendra korta,0,5
29,Paskutinė bendra korta,0,5
30,Nė viena iš išvardytų,0,5
545,Pirmosios trys atverstos bendros kortos,1,5
546,Tavo mama,0,5
31,Pirmoji pozicija po didžiojo blindo,0,6
32,Antroji pozicija po didžiojo blindo,0,6
33,"Pozicija, iš kurios dalinamos kortos",1,6
34,Paskutinė pozicija prieš didįjį blindą,0,6
35,Pirmoji pozicija prieš mažąjį blindą,0,6
36,Pirmoji pozicija po mažojo blindo,0,6
37,Paskutinė bendra korta,0,7
38,Antra bendra korta,0,7
39,Trečia bendra korta,0,7
40,Ketvirtoji bendra korta,1,7
41,Pirmoji bendra korta,0,7
42,Antroji bendra korta,0,7
43,Pirmoji bendra korta,0,8
44,Antra bendra korta,0,8
45,Trečia bendra korta,0,8
46,Ketvirtoji bendra kort,0,8
47,Penktoji ir paskutinė bendra korta,1,8
48,Šeštoji bendra korta,0,8
49,Statyti pusę savo žetonų,0,9
50,Statyti visus savo žetonus,1,9
51,Statyti visus likusius žetonus,1,9
52,Statyti minimalią leistiną sumą,0,9
53,Padvigubinti ankstesnį statymą,0,9
54,Atsiimti visus statymus,0,9
55,"Privalomas statymas, atliekamas prieš kortų išdalinimą",0,10
56,Statymas po kortų išdalinimo,0,10
57,"Privalomas statymas prieš kortų išdalinimą, atliekamas tam tikrų pozicijų žaidėjų",1,10
58,"Statymas, atliekamas po pirmojo statymo raundo",0,10
59,Papildomas statymas žaidimo pabaigoje,0,10
60,"Statymas, atliekamas žaidėjo, turinčio aukščiausią ranką",0,10
61,Žaidėjas su aukščiausia ranka,0,11
62,Žaidėjas su žemiausia ranka,0,11
63,"Žaidėjas kairėje nuo ""dilerio""",0,11
64,Žaidėjas kairėje nuo mažojo blindo,1,11
65,"Žaidėjas dešinėje nuo ""dilerio""",0,11
66,Žaidėjas prieš mažąjį blindą,0,11
67,Padvigubinti ankstesnį statymą,0,12
68,"Nedaryti statymo, bet išlikti žaidime",1,12
69,Padidinti statymą,0,12
70,Atsisakyti žaidimo,0,12
71,Išmesti kortas,0,12
72,Statyti minimalią sumą,0,12
73,Žaidime naudojamos skirtingos kortų kaladės,0,13
75,Turnyras vyksta be dalintojo,0,13
76,Grynųjų pinigų žaidime nėra statymų limitų,0,13
77,Turnyre žaidžiama tik su vienu žaidėju,0,13
78,Grynųjų pinigų žaidime žaidžiama tik prie vieno stalo,0,13
550,"Turnyre žaidėjai iškrenta, kai praranda visas žetonus, o grynųjų pinigų žaidime jie gali pirkti daugiau žetonų",1,13
79,Penkios iš eilės einančios kortos toje pačioje rankoje,1,14
80,Keturi vienodi ir viena atsitiktinė korta,0,14
81,Tris vienodi ir du vienodi,0,14
82,Dvi poros ir viena atsitiktinė korta,0,14
83,Aukščiausios penkios kortos bet kokios maškos,0,14
